ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
7531,YWHAE,247,P62258
7532,YWHAG,196,P61981
7533,YWHAH,161,Q04917
7827,NPHS2,13,Q9NP85
7832,BTG2,1,P78543
7841,MOGS,45,Q13724
7916,PRRC2A,5,P48634
8000,PSCA,44,O43653
8029,CUBN,22,O60494
8073,PTP4A2,46,Q12974
8291,DYSF,51,O75923
8407,TAGLN2,164,P37802
8411,EEA1,52,Q15075
8424,BBOX1,11,O75936
8428,STK24,78,Q9Y6E0
8450,CUL4B,64,Q13620
8452,CUL3,49,Q13618
8455,ATRN,66,O75882
8476,CDC42BPA,31,Q5VT25
8499,PPFIA2,1,O75334
8566,PDXK,75,O00764
8574,AKR7A2,68,O43488
8611,PPAP2A,33,O14494
8647,ABCB11,18,O95342
8649,LAMTOR3,18,Q9UHA4
8671,SLC4A4,10,Q9Y6R1
8673,VAMP8,73,Q9BV40
8724,SNX3,51,O60493
8735,MYH13,5,Q9UKX3
8773,SNAP23,154,O00161
8774,NAPG,75,Q99747
8775,NAPA,125,P54920
8789,FBP2,12,O00757
8796,SCEL,3,O95171
8803,SUCLA2,18,Q9P2R7
8836,GGH,73,Q92820
8842,PROM1,78,O43490
8857,FCGBP,61,Q9Y6R7
8858,PROZ,8,P22891
8878,SQSTM1,71,Q13501
8907,AP1M1,44,Q9BXS5
8934,RAB7L1,23,O14966
8976,WASL,38,O00401
