ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
8735,Q9UKX3,MYH13,1,Microparticles
8773,O00161,SNAP23,25,Microvesicles
8774,Q99747,NAPG,8,Microvesicles
8775,P54920,NAPA,19,Microvesicles
8803,Q9P2R7,SUCLA2,2,Microvesicles
8836,Q92820,GGH,8,Microparticles
8842,O43490,PROM1,3,Microvesicles
8857,Q9Y6R7,FCGBP,3,Microparticles
8878,Q13501,SQSTM1,10,Microvesicles
8907,Q9BXS5,AP1M1,8,Microparticles
8976,O00401,WASL,3,Microparticles
8985,O60568,PLOD3,18,Microvesicles
8991,Q13228,SELENBP1,4,Microvesicles
8997,O60229,KALRN,1,Microparticles
9022,O95833,CLIC3,2,Microvesicles
9031,Q9UIG0,BAZ1B,2,Microparticles
9043,O60271,SPAG9,8,Microvesicles
9052,Q8NFJ5,GPRC5A,5,Microvesicles
9114,P61421,ATP6V0D1,13,Microparticles
9146,O14964,HGS,9,Microvesicles
9317,Q96BW5,PTER,3,Microvesicles
9322,Q15642,TRIP10,6,Microvesicles
9351,Q15599,SLC9A3R2,3,Microvesicles
9368,O14745,SLC9A3R1,19,Microvesicles
9371,O15066,KIF3B,6,Microvesicles
9380,Q9UBQ7,GRHPR,5,Microparticles
9446,P78417,GSTO1,23,Microvesicles
9476,O96009,NAPSA,2,Microparticles
9525,O75351,VPS4B,9,Microvesicles
9545,O95716,RAB3D,6,Microvesicles
9550,O75348,ATP6V1G1,9,Microvesicles
9578,Q9Y5S2,CDC42BPB,10,Microvesicles
9696,Q5TZA2,CROCC,2,Microvesicles
9725,O94886,TMEM63A,5,Microvesicles
9748,Q9H2G2,SLK,10,Microvesicles
9798,P53990,IST1,9,Microparticles
9943,O95747,OXSR1,12,Microvesicles
9980,Q9Y3R5,DOPEY2,2,Microvesicles
10006,Q8IZP0,ABI1,11,Microvesicles
10007,P46926,GNPDA1,10,Microvesicles
10016,O75340,PDCD6,19,Microvesicles
10043,O60784,TOM1,10,Microvesicles
10058,Q9NP58,ABCB6,2,Microparticles
10075,Q7Z6Z7,HUWE1,10,Microvesicles
10092,O15511,ARPC5,17,Microparticles
10099,O60637,TSPAN3,2,Microparticles
10103,O60635,TSPAN1,6,Microvesicles
10158,Q13113,PDZK1IP1,2,Microparticles
10159,O75787,ATP6AP2,2,Microvesicles
10189,Q86V81,ALYREF,2,Microparticles
10217,O15194,CTDSPL,2,Microvesicles
10247,P52758,HRSP12,3,Microvesicles
10269,O75844,ZMPSTE24,8,Microvesicles
10294,O60884,DNAJA2,11,Microvesicles
10327,P14550,AKR1A1,14,Microvesicles
10397,Q92597,NDRG1,7,Microvesicles
10409,P80723,BASP1,17,Microvesicles
10458,Q9UQB8,BAIAP2,6,Microvesicles
10493,Q99536,VAT1,34,Microvesicles
