ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES
2517,P04066,FUCA1,51
2548,P10253,GAA,53
2561,P47870,GABRB2,2
2584,P51570,GALK1,63
2632,Q04446,GBE1,57
2658,Q9UK05,GDF2,1
2674,P56159,GFRA1,21
2683,P15291,B4GALT1,41
2712,Q14410,GK2,3
2720,P16278,GLB1,48
2734,Q92896,GLG1,69
2752,P15104,GLUL,10
2760,P17900,GM2A,30
2767,P29992,GNA11,123
2770,P63096,GNAI1,111
2776,P50148,GNAQ,132
2787,P63218,GNG5,80
2788,O60262,GNG7,44
2805,P17174,GOT1,112
2810,P31947,SFN,100
2819,P21695,GPD1,43
2823,P51674,GPM6A,29
2875,P24298,GPT,14
2879,P36969,GPX4,48
2894,Q9ULK0,GRID1,3
2934,P06396,GSN,181
2937,P48637,GSS,75
2938,P08263,GSTA1,25
2946,P28161,GSTM2,38
2990,P08236,GUSB,34
3043,P68871,HBB,155
3075,P08603,CFH,58
3081,Q93099,HGD,30
3094,P49773,HINT1,67
3176,P50135,HNMT,6
3191,P14866,HNRNPL,80
3242,P32754,HPD,5
3248,P15428,HPGD,49
3273,P04196,HRG,29
3301,P31689,DNAJA1,126
3306,P54652,HSPA2,103
3309,P11021,HSPA5,175
3315,P04792,HSPB1,171
3337,P25685,DNAJB1,55
3339,P98160,HSPG2,119
3383,P05362,ICAM1,126
3417,O75874,IDH1,135
3426,P05156,CFI,45
3483,P35858,IGFALS,38
3557,P18510,IL1RN,6
3664,O14896,IRF6,2
3672,P56199,ITGA1,65
3675,P26006,ITGA3,118
3685,P06756,ITGAV,143
3688,P05556,ITGB1,203
3692,P56537,EIF6,62
3696,P26012,ITGB8,37
3700,Q14624,ITIH4,67
3728,P14923,JUP,133
3795,P50053,KHK,6
3801,Q9BVG8,KIFC3,22
3816,P06870,KLK1,9
3827,P01042,KNG1,44
3911,O15230,LAMA5,82
3915,P11047,LAMC1,119
3916,P11279,LAMP1,142
3920,P13473,LAMP2,113
3929,P18428,LBP,42
3934,P80188,LCN2,42
3958,P17931,LGALS3,101
3959,Q08380,LGALS3BP,187
4036,P98164,LRP2,47
4059,P50895,BCAM,73
4069,P61626,LYZ,81
4072,P16422,EPCAM,104
4082,P29966,MARCKS,128
4121,P33908,MAN1A1,41
4124,Q16706,MAN2A1,34
4240,Q08431,MFGE8,160
4241,P08582,MFI2,90
4282,P14174,MIF,124
4300,P42568,MLLT3,1
4301,P55196,MLLT4,55
4311,P08473,MME,96
4332,P41218,MNDA,34
4353,P05164,MPO,63
4357,P25325,MPST,68
4430,O43795,MYO1B,91
4482,Q9UJ68,MSRA,18
4507,Q13126,MTAP,54
4582,P15941,MUC1,74
4621,P11055,MYH3,7
4641,O00159,MYO1C,152
4642,O94832,MYO1D,94
4645,Q9ULV0,MYO5B,36
4646,Q9UM54,MYO6,63
4669,P54802,NAGLU,41
4677,O43776,NARS,73
4703,P20929,NEB,35
4811,P14543,NID1,65
4825,P78426,NKX6-1,2
4835,P16083,NQO2,38
4864,O15118,NPC1,50
4868,O60500,NPHS1,5
4899,Q16656,NRF1,3
4907,P21589,NT5E,106
5025,Q99571,P2RX4,12
5048,P43034,PAFAH1B1,105
5049,P68402,PAFAH1B2,77
5092,P61457,PCBD1,49
5093,Q15365,PCBP1,137
5104,P05154,SERPINA5,34
5105,P35558,PCK1,9
