ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
9416,DDX23,39,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9BUQ8
10045,SH2D3A,7,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9BRG2
10274,STAG1,5,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8WVM7
10318,TNIP1,36,Exosomes/Microvesicles/Oncosomes/Microparticles,Q15025
10533,ATG7,36,Exosomes/Microvesicles/Oncosomes/Microparticles,O95352
10713,USP39,33,Exosomes/Microvesicles/Oncosomes/Microparticles,Q53GS9
10735,STAG2,26,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8N3U4
11155,LDB3,4,Exosomes/Microvesicles/Oncosomes/Microparticles,O75112
22995,CEP152,8,Exosomes/Microvesicles/Oncosomes/Microparticles,O94986
23094,SIPA1L3,6,Exosomes/Microvesicles/Oncosomes/Microparticles,O60292
23098,SARM1,5,Exosomes/Microvesicles/Oncosomes/Microparticles,Q6SZW1
23131,GPATCH8,6,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9UKJ3
23162,MAPK8IP3,8,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9UPT6
23244,PDS5A,34,Exosomes/Microvesicles/Oncosomes/Microparticles,Q29RF7
23332,CLASP1,24,Exosomes/Microvesicles/Oncosomes/Microparticles,Q7Z460
51225,ABI3,23,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9P2A4
51605,TRMT6,31,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9UJA5
53347,UBASH3A,26,Exosomes/Microvesicles/Oncosomes/Microparticles,P57075
54480,CHPF2,6,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9P2E5
54922,RASIP1,6,Exosomes/Microvesicles/Oncosomes/Microparticles,Q5U651
55660,PRPF40A,45,Exosomes/Microvesicles/Oncosomes/Microparticles,O75400
55759,WDR12,25,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9GZL7
57187,THOC2,43,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8NI27
57572,DOCK6,13,Exosomes/Microvesicles/Oncosomes/Microparticles,Q96HP0
57684,ZBTB26,4,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9HCK0
57711,ZNF529,5,Exosomes/Microvesicles/Oncosomes/Microparticles,Q6P280
57724,EPG5,28,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9HCE0
64072,CDH23,7,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9H251
79068,FTO,22,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9C0B1
79649,MAP7D3,7,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8IWC1
80008,TMEM156,4,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8N614
80208,SPG11,13,Exosomes/Microvesicles/Oncosomes/Microparticles,Q96JI7
80312,TET1,10,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8NFU7
83449,PMFBP1,8,Exosomes/Microvesicles/Oncosomes/Microparticles,Q8TBY8
83743,GRWD1,37,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9BQ67
84002,B3GNT5,4,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9BYG0
259307,IL4I1,31,Exosomes/Microvesicles/Oncosomes/Microparticles,Q96RQ9
353274,ZNF445,7,Exosomes/Microvesicles/Oncosomes/Microparticles,P59923
440193,CCDC88C,5,Exosomes/Microvesicles/Oncosomes/Microparticles,Q9P219
641,BLM,22,Exosomes,P54132
839,CASP6,27,Exosomes,P55212
910,CD1B,32,Exosomes,P29016
911,CD1C,34,Exosomes,P29017
917,CD3G,3,Exosomes,P09693
926,CD8B,1,Exosomes,P10966
984,CDK11B,2,Exosomes,P21127
1147,CHUK,6,Exosomes,O15111
1178,CLC,1,Exosomes,Q05315
1466,CSRP2,34,Exosomes,Q16527
1633,DCK,16,Exosomes,P27707
1791,DNTT,1,Exosomes,P04053
2068,ERCC2,2,Exosomes,P18074
2185,PTK2B,3,Exosomes,Q14289
2242,FES,5,Exosomes,P07332
2779,GNAT1,19,Exosomes,P11488
2869,GRK5,12,Exosomes,P34947
2908,NR3C1,21,Exosomes,P04150
2959,GTF2B,26,Exosomes,Q00403
3428,IFI16,31,Exosomes,Q16666
3434,IFIT1,19,Exosomes,P09914
3437,IFIT3,32,Exosomes,O14879
3614,IMPDH1,46,Exosomes,P20839
3633,INPP5B,1,Exosomes,P32019
3702,ITK,4,Exosomes,Q08881
3718,JAK3,23,Exosomes,P52333
3980,LIG3,12,Exosomes,P49916
4221,MEN1,2,Exosomes,O00255
4292,MLH1,1,Exosomes,P40692
4437,MSH3,23,Exosomes,P20585
4600,MX2,29,Exosomes,P20592
4615,MYD88,9,Exosomes,Q99836
4686,NCBP1,31,Exosomes,Q09161
4939,OAS2,40,Exosomes,P29728
5256,PHKA2,1,Exosomes,P46019
5287,PIK3C2B,2,Exosomes,O00750
5423,POLB,1,Exosomes,P06746
5425,POLD2,21,Exosomes,P49005
5432,POLR2C,21,Exosomes,P19387
5434,POLR2E,24,Exosomes,P19388
5441,POLR2L,22,Exosomes,P62875
5442,POLRMT,3,Exosomes,O00411
5452,POU2F2,1,Exosomes,P09086
5521,PPP2R2B,8,Exosomes,Q00005
5529,PPP2R5E,26,Exosomes,Q16537
5609,MAP2K7,1,Exosomes,O14733
5778,PTPN7,2,Exosomes,P35236
5780,PTPN9,4,Exosomes,P43378
5894,RAF1,5,Exosomes,P04049
5961,PRPH2,1,Exosomes,P23942
5982,RFC2,26,Exosomes,P35250
6118,RPA2,34,Exosomes,P15927
6304,SATB1,6,Exosomes,Q01826
6602,SMARCD1,27,Exosomes,Q96GM5
6603,SMARCD2,24,Exosomes,Q92925
6614,SIGLEC1,19,Exosomes,Q9BZZ2
6636,SNRPF,28,Exosomes,P62306
6651,SON,31,Exosomes,P18583
6737,TRIM21,27,Exosomes,P19474
6773,STAT2,27,Exosomes,P52630
6890,TAP1,27,Exosomes,Q03518
6892,TAPBP,20,Exosomes,O15533
6894,TARBP1,4,Exosomes,Q13395
6993,DYNLT1,40,Exosomes,P63172
7153,TOP2A,44,Exosomes,P11388
7185,TRAF1,6,Exosomes,Q13077
7409,VAV1,33,Exosomes,P15498
7443,VRK1,23,Exosomes,Q99986
7535,ZAP70,29,Exosomes,P43403
8079,MLF2,19,Exosomes,Q15773
8087,FXR1,37,Exosomes,P51114
8295,TRRAP,29,Exosomes,Q9Y4A5
8449,DHX16,28,Exosomes,O60231
8487,GEMIN2,33,Exosomes,O14893
8504,PEX3,1,Exosomes,P56589
8514,KCNAB2,25,Exosomes,Q13303
8517,IKBKG,21,Exosomes,Q9Y6K9
