ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
100039695,Rpl19-ps1,2,Microparticles
100039940,Gm12715,3,Microparticles
100039988,Gm11826,2,Microparticles
100040298,Gm15501,3,Microparticles
100041164,Gm13268,2,Microparticles
100041230,Hist1h4m,3,Microparticles
100041511,Rpl19-ps11,2,Microparticles
100041918,Gm13529,1,Microparticles
100042173,Rps15a-ps6,2,Microparticles
100042180,Gm11353,3,Microparticles
100042335,Rps15a-ps5,2,Microparticles
100042421,Gm3835,1,Microparticles
100042651,Tubb4b-ps1,3,Microparticles
100042778,Gm4028,1,Microparticles
100043622,Gm14383,1,Microparticles
100043734,Gm16409,2,Microparticles
100043763,Gm14438,3,Microparticles
100043843,Rps15a-ps7,2,Microparticles
100045367,LOC100045367,2,Microparticles
100045999,LOC100045999,3,Microparticles
