ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
1642,DDB1,7,Exosomes,Q16531
1644,DDC,3,Exosomes,P20711
1652,DDT,7,Exosomes,P30046
1654,DDX3X,8,Exosomes,O00571
1655,DDX5,4,Exosomes,P17844
1675,CFD,2,Exosomes,P00746
1769,DNAH8,2,Exosomes,Q96JB1
1800,DPEP1,8,Exosomes,P16444
1803,DPP4,12,Exosomes,P27487
1807,DPYS,1,Exosomes,Q14117
1824,DSC2,2,Exosomes,Q02487
1830,DSG3,1,Exosomes,P32926
1832,DSP,20,Exosomes,P15924
1889,ECE1,5,Exosomes,P42892
1947,EFNB1,5,Exosomes,P98172
1950,EGF,4,Exosomes,P01133
1954,MEGF8,4,Exosomes,Q7Z7M0
1991,ELANE,4,Exosomes,P08246
2028,ENPEP,3,Exosomes,Q07075
2040,STOM,28,Exosomes,P27105
2053,EPHX2,4,Exosomes,P34913
2059,EPS8,7,Exosomes,Q12929
2091,FBL,4,Exosomes,P22087
2098,ESD,22,Exosomes,P10768
2125,EVPL,5,Exosomes,Q92817
2160,F11,2,Exosomes,P03951
2168,FABP1,2,Exosomes,P07148
2170,FABP3,5,Exosomes,P05413
2182,ACSL4,9,Exosomes,O60488
2184,FAH,11,Exosomes,P16930
2194,FASN,20,Exosomes,P49327
2195,FAT1,5,Exosomes,Q14517
2202,EFEMP1,6,Exosomes,Q12805
2203,FBP1,4,Exosomes,P09467
2220,FCN2,8,Exosomes,Q15485
2243,FGA,20,Exosomes,P02671
2266,FGG,22,Exosomes,P02679
2289,FKBP5,2,Exosomes,Q13451
2335,FN1,22,Exosomes,P02751
2444,FRK,4,Exosomes,P42685
2512,FTL,13,Exosomes,P02792
2517,FUCA1,3,Exosomes,P04066
2548,GAA,7,Exosomes,P10253
2561,GABRB2,2,Exosomes,P47870
2584,GALK1,3,Exosomes,P51570
2632,GBE1,4,Exosomes,Q04446
2658,GDF2,1,Exosomes,Q9UK05
2674,GFRA1,1,Exosomes,P56159
2683,B4GALT1,5,Exosomes,P15291
2712,GK2,1,Exosomes,Q14410
2720,GLB1,7,Exosomes,P16278
2734,GLG1,8,Exosomes,Q92896
2752,GLUL,1,Exosomes,P15104
2760,GM2A,4,Exosomes,P17900
2767,GNA11,11,Exosomes,P29992
2770,GNAI1,9,Exosomes,P63096
2776,GNAQ,17,Exosomes,P50148
2787,GNG5,3,Exosomes,P63218
2788,GNG7,3,Exosomes,O60262
2805,GOT1,15,Exosomes,P17174
2810,SFN,10,Exosomes,P31947
2819,GPD1,3,Exosomes,P21695
2823,GPM6A,2,Exosomes,P51674
2875,GPT,2,Exosomes,P24298
2879,GPX4,5,Exosomes,P36969
2894,GRID1,1,Exosomes,Q9ULK0
2934,GSN,21,Exosomes,P06396
2937,GSS,14,Exosomes,P48637
2938,GSTA1,5,Exosomes,P08263
2946,GSTM2,1,Exosomes,P28161
2990,GUSB,4,Exosomes,P08236
3043,HBB,17,Exosomes,P68871
3075,CFH,6,Exosomes,P08603
3081,HGD,2,Exosomes,Q93099
3094,HINT1,6,Exosomes,P49773
3176,HNMT,2,Exosomes,P50135
3191,HNRNPL,6,Exosomes,P14866
3242,HPD,2,Exosomes,P32754
3248,HPGD,5,Exosomes,P15428
3273,HRG,1,Exosomes,P04196
3301,DNAJA1,8,Exosomes,P31689
