ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
203068,P07437,TUBB,74,Exosomes
221823,P21108,PRPS1L1,4,Exosomes
388697,Q86YZ3,HRNR,13,Exosomes
399687,Q92614,MYO18A,13,Exosomes
728689,B5ME19,EIF3CL,3,Exosomes
1,P04217,A1BG,7,Exosomes
12,P01011,SERPINA3,12,Exosomes
48,P21399,ACO1,20,Exosomes
52,P24666,ACP1,16,Exosomes
53,P11117,ACP2,16,Exosomes
55,P15309,ACPP,10,Exosomes
95,Q03154,ACY1,9,Exosomes
107,Q08828,ADCY1,6,Exosomes
128,P11766,ADH5,16,Exosomes
130,P28332,ADH6,2,Exosomes
143,Q9UKK3,PARP4,16,Exosomes
197,P02765,AHSG,43,Exosomes
203,P00568,AK1,9,Exosomes
210,P13716,ALAD,8,Exosomes
214,Q13740,ALCAM,23,Exosomes
216,P00352,ALDH1A1,18,Exosomes
217,P05091,ALDH2,9,Exosomes
221,P43353,ALDH3B1,10,Exosomes
223,P49189,ALDH9A1,19,Exosomes
230,P09972,ALDOC,31,Exosomes
231,P15121,AKR1B1,28,Exosomes
238,Q9UM73,ALK,2,Exosomes
239,P18054,ALOX12,1,Exosomes
249,P05186,ALPL,9,Exosomes
259,P02760,AMBP,13,Exosomes
290,P15144,ANPEP,24,Exosomes
301,P04083,ANXA1,83,Exosomes
306,P12429,ANXA3,33,Exosomes
310,P20073,ANXA7,50,Exosomes
312,P27216,ANXA13,11,Exosomes
316,Q06278,AOX1,4,Exosomes
317,O14727,APAF1,4,Exosomes
325,P02743,APCS,7,Exosomes
335,P02647,APOA1,35,Exosomes
336,P02652,APOA2,9,Exosomes
337,P06727,APOA4,1,Exosomes
347,P05090,APOD,16,Exosomes
348,P02649,APOE,47,Exosomes
357,Q13796,SHROOM2,2,Exosomes
358,P29972,AQP1,7,Exosomes
359,P41181,AQP2,15,Exosomes
388,P62745,RHOB,16,Exosomes
391,P84095,RHOG,36,Exosomes
392,Q07960,ARHGAP1,8,Exosomes
403,P36405,ARL3,13,Exosomes
415,P51690,ARSE,1,Exosomes
416,P54793,ARSF,6,Exosomes
427,Q13510,ASAH1,14,Exosomes
435,P04424,ASL,7,Exosomes
439,O43681,ASNA1,9,Exosomes
445,P00966,ASS1,13,Exosomes
481,P05026,ATP1B1,45,Exosomes
486,P54710,FXYD2,5,Exosomes
525,P15313,ATP6V1B1,14,Exosomes
526,P21281,ATP6V1B2,19,Exosomes
527,P27449,ATP6V0C,4,Exosomes
528,P21283,ATP6V1C1,9,Exosomes
529,P36543,ATP6V1E1,22,Exosomes
535,Q93050,ATP6V0A1,12,Exosomes
537,Q15904,ATP6AP1,9,Exosomes
566,P20160,AZU1,2,Exosomes
567,P61769,B2M,31,Exosomes
613,P11274,BCR,2,Exosomes
633,P21810,BGN,7,Exosomes
642,Q13867,BLMH,16,Exosomes
644,P53004,BLVRA,15,Exosomes
645,P30043,BLVRB,12,Exosomes
