ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
527,ATP6V0C,8,Exosomes,P27449
528,ATP6V1C1,12,Exosomes,P21283
529,ATP6V1E1,38,Exosomes,P36543
535,ATP6V0A1,24,Exosomes,Q93050
537,ATP6AP1,12,Exosomes,Q15904
566,AZU1,11,Exosomes,P20160
567,B2M,63,Exosomes,P61769
613,BCR,2,Exosomes,P11274
633,BGN,8,Exosomes,P21810
642,BLMH,19,Exosomes,Q13867
644,BLVRA,32,Exosomes,P53004
645,BLVRB,26,Exosomes,P30043
671,BPI,4,Exosomes,P17213
684,BST2,23,Exosomes,Q10589
706,TSPO,8,Exosomes,P30536
710,SERPING1,36,Exosomes,P05155
726,CAPN5,27,Exosomes,O15484
727,C5,32,Exosomes,P01031
735,C9,45,Exosomes,P02748
754,PTTG1IP,12,Exosomes,P53801
760,CA2,24,Exosomes,P00918
762,CA4,18,Exosomes,P22748
781,CACNA2D1,23,Exosomes,P54289
793,CALB1,12,Exosomes,P05937
810,CALML3,4,Exosomes,P27482
814,CAMK4,5,Exosomes,Q16566
820,CAMP,19,Exosomes,P49913
830,CAPZA2,50,Exosomes,P47755
873,CBR1,63,Exosomes,P16152
928,CD9,118,Exosomes,P21926
929,CD14,39,Exosomes,P08571
950,SCARB2,43,Exosomes,Q14108
966,CD59,65,Exosomes,P13987
967,CD63,107,Exosomes,P08962
975,CD81,107,Exosomes,P60033
983,CDK1,23,Exosomes,P06493
998,CDC42,92,Exosomes,P60953
1048,CEACAM5,18,Exosomes,P06731
1071,CETP,11,Exosomes,P11597
1075,CTSC,13,Exosomes,P53634
1152,CKB,29,Exosomes,P12277
1173,AP2M1,26,Exosomes,Q96CW1
1191,CLU,83,Exosomes,P10909
1200,TPP1,29,Exosomes,O14773
1291,COL6A1,30,Exosomes,P12109
1293,COL6A3,23,Exosomes,P12111
1306,COL15A1,13,Exosomes,P39059
1312,COMT,22,Exosomes,P21964
1356,CP,37,Exosomes,P00450
1370,CPN2,9,Exosomes,P22792
1378,CR1,16,Exosomes,P17927
1382,CRABP2,11,Exosomes,P29373
1398,CRK,14,Exosomes,P46108
1410,CRYAB,14,Exosomes,P02511
1428,CRYM,12,Exosomes,Q14894
1429,CRYZ,31,Exosomes,Q08257
1465,CSRP1,23,Exosomes,P21291
1471,CST3,17,Exosomes,P01034
1476,CSTB,41,Exosomes,P04080
